Name,Email,Job,Card,Product,Quantity,PriceUSD,TaxPercentage
Amber Mann,barbara76@yahoo.com,Manager,Visa,Laptop,3,171.94,0.18
Mr. Victor Luna DDS,danastone@gmail.com,Software Engineer,MasterCard,Keyboard,1,100.23,0.1
Ryan Wright,johnsonbrian@thompson.org,Manager,Visa,USB Drive,4,185.43,0.08
Deanna Brown,sabrina85@moreno.info,Engineer,Visa,Smartphone,4,28.54,0.15
Donna Lester,zwilliams@gmail.com,Manager,American Express,Smartphone,3,30.46,0.15
Linda Johnson,bonnie14@hotmail.com,Engineer,American Express,Gaming Console,1,250.33,0.2
Michelle Floyd,normanvincent@sanchez.com,Manager,Visa,Smartphone,3,120.85,0.15
Ronald Martin,bgilbert@rogers-randall.com,Designer,MasterCard,Printer,1,55.58,0.16
Regina Hicks,perezlance@yahoo.com,Designer,MasterCard,Headphones,5,166.23,0.12
Crystal Fernandez,uwiley@miller.com,Analyst,American Express,Headphones,2,235.6,0.12
Gabriel Berry,nicholas95@lane-russell.com,Designer,Visa,Gaming Console,2,80.43,0.2
Desiree Hudson,elliottmelissa@thompson.com,Designer,American Express,Printer,2,194.41,0.16
Stephanie Anderson,jose56@yahoo.com,Manager,MasterCard,Headphones,3,43.9,0.12
Geoffrey Johnson,allen10@parker.com,Data Scientist,Visa,Monitor,5,34.47,0.17
Betty Powell,austinmoore@strickland.com,Data Scientist,American Express,Printer,1,168.78,0.16
Lee Rich,jeremy63@harris.com,Engineer,American Express,USB Drive,4,171.38,0.08
Jacqueline Wagner,reillybrenda@jones-jackson.org,Data Scientist,MasterCard,Tablet,1,198.48,0.13
Tammy Lawson,joshua77@yahoo.com,Software Engineer,American Express,Keyboard,4,223.31,0.1
Adrian Hoffman,andrewslinda@gmail.com,Analyst,MasterCard,Printer,1,293.24,0.16
James Smith,troy35@gmail.com,Designer,MasterCard,Keyboard,5,164.56,0.1
Brianna Simpson,heather46@jones-robinson.com,Analyst,Visa,Monitor,4,110.43,0.17
Elizabeth Turner,tammy24@bradley.biz,Software Engineer,Visa,Tablet,3,242.65,0.13
Wesley Oneill,cindy10@gmail.com,Designer,American Express,Smartwatch,1,95.83,0.14
Loretta Boyer,cassandramitchell@hotmail.com,Engineer,MasterCard,Gaming Console,1,142.91,0.2
Heather Phillips,joshuasavage@hotmail.com,Software Engineer,MasterCard,Printer,4,41.97,0.16
Thomas Frey,xrollins@stephens.com,Software Engineer,Visa,Gaming Console,3,27.1,0.2
Megan Franco,pbennett@hotmail.com,Analyst,Visa,Smartphone,3,289.54,0.15
Brandon Smith,kathleen31@gmail.com,Manager,MasterCard,Keyboard,5,254.07,0.1
Kimberly Adams,smithrachel@henderson.com,Analyst,Visa,Keyboard,3,214.87,0.1
Michael Murphy,elliottanita@green.com,Analyst,American Express,Smartphone,3,134.51,0.15
Cameron Chase,rogercollins@johnson.org,Data Scientist,MasterCard,Smartwatch,3,68.52,0.14
Rhonda Baker,cherylcannon@erickson.org,Software Engineer,Visa,Laptop,2,63.8,0.18
Andrew Marshall,harrisjennifer@oliver-lynch.org,Analyst,American Express,USB Drive,5,90.07,0.08
Erin Oliver,daniellewade@foley.com,Software Engineer,MasterCard,Printer,1,173.78,0.16
Christopher Carter,jenningstimothy@hotmail.com,Data Scientist,American Express,Keyboard,4,220.09,0.1
Theodore Villarreal,holly99@gmail.com,Software Engineer,American Express,USB Drive,1,204.86,0.08
Derek Bartlett,melissa40@reynolds.com,Analyst,MasterCard,Keyboard,5,98.38,0.1
Meredith Smith,hamiltoncorey@berry-hall.com,Software Engineer,American Express,Laptop,4,287.36,0.18
Noah Vargas,ylivingston@vazquez.org,Designer,Visa,Smartphone,5,226.61,0.15
Mr. Kenneth Deleon,davisaaron@yahoo.com,Data Scientist,Visa,Laptop,3,175.22,0.18
Nicole Fleming,jennifertran@yahoo.com,Manager,Visa,Keyboard,4,191.28,0.1
Patricia Love,kperkins@gmail.com,Software Engineer,American Express,Smartphone,3,137.49,0.15
James Blackburn,annawatson@yahoo.com,Analyst,Visa,Laptop,1,89.36,0.18
Kurt Anderson,kaitlin62@leonard.org,Data Scientist,American Express,Smartwatch,1,119.67,0.14
Michael Harrison,smithgloria@gmail.com,Analyst,Visa,Smartphone,4,232.2,0.15
Charles Dixon,julie43@haney-newton.com,Analyst,MasterCard,Printer,4,24.03,0.16
Jerry Carrillo,william80@gmail.com,Software Engineer,American Express,Keyboard,5,52.5,0.1
Randall Hayes,michaelwest@duncan.org,Analyst,American Express,Monitor,5,32.88,0.17
Christy Thomas,rose45@arroyo-wiley.com,Software Engineer,Visa,Gaming Console,3,31.4,0.2
Jon Olson,campbelljames@yahoo.com,Manager,MasterCard,Keyboard,4,259.53,0.1
Christopher Williams,erik70@vargas-taylor.biz,Designer,Visa,Printer,1,217.02,0.16
Madeline Gonzalez,patrickbarnes@oliver.net,Analyst,Visa,Headphones,5,152.77,0.12
Paul Lambert,cooperthomas@yahoo.com,Analyst,MasterCard,USB Drive,5,47.39,0.08
Michael Young,xhuff@ray.com,Analyst,MasterCard,USB Drive,1,157.65,0.08
Christopher Reynolds MD,sharon47@yahoo.com,Engineer,Visa,Gaming Console,5,152.57,0.2
Michael Mcfarland,michellejohnson@stanley.com,Engineer,MasterCard,Keyboard,3,68.5,0.1
Vanessa Hickman,iparks@yahoo.com,Data Scientist,Visa,Gaming Console,4,141.48,0.2
Olivia Wolfe,kgonzalez@hotmail.com,Designer,American Express,Tablet,1,131.58,0.13
Adrienne Nelson,charleswilson@shaw.com,Designer,Visa,Keyboard,4,192.44,0.1
Paul Winters,leonard91@lynch.com,Engineer,American Express,Smartphone,5,197.83,0.15
Denise Pruitt,teresamedina@hotmail.com,Data Scientist,Visa,Smartphone,5,32.69,0.15
Rodney Carter,elopez@sanders.com,Engineer,MasterCard,Tablet,1,124.89,0.13
Angel Walsh,andrewjackson@mayer-pena.com,Manager,American Express,Smartwatch,3,195.24,0.14
Stacy Knight,cevans@heath.com,Data Scientist,MasterCard,Tablet,2,160.88,0.13
John Richard,christopher23@mccall-lowery.com,Designer,American Express,Tablet,1,259.82,0.13
Tommy Kelley,orollins@gmail.com,Designer,American Express,Gaming Console,2,204.43,0.2
Daniel Lee,tonyagarcia@white.com,Engineer,Visa,Laptop,2,65.62,0.18
Katherine Gay,hchaney@yahoo.com,Manager,Visa,Smartphone,3,39.76,0.15
Michael Spencer,gfigueroa@yahoo.com,Engineer,Visa,Laptop,2,199.88,0.18
Melvin Arnold,ramirezbrandy@pace.info,Software Engineer,Visa,Tablet,2,27.42,0.13
Christopher Holt,michael37@hansen.org,Software Engineer,MasterCard,Smartwatch,3,184.02,0.14
Denise Griffin,kevin29@stephens-alvarado.com,Manager,Visa,Smartphone,2,283.26,0.15
Theodore Ross,kelly14@yahoo.com,Analyst,Visa,Keyboard,2,181.13,0.1
David Harris,brittney33@yahoo.com,Analyst,American Express,Keyboard,2,128.69,0.1
Suzanne Hill,jessica12@chavez.biz,Software Engineer,MasterCard,Keyboard,1,200.12,0.1
David Potter,watsonjonathan@gmail.com,Software Engineer,MasterCard,Printer,1,148.31,0.16
Elizabeth Ayala,christinealexander@gmail.com,Analyst,American Express,Gaming Console,1,172.77,0.2
Casey Vargas,calebbrown@wallace.biz,Data Scientist,American Express,Headphones,3,283.61,0.12
Lindsay Caldwell,villarrealashley@miller-grant.com,Analyst,Visa,Tablet,5,128.11,0.13
Stephanie Thomas,stephaniegilmore@howell-garcia.com,Engineer,MasterCard,Headphones,2,289.13,0.12
Adam Jordan,austinbell@luna-zhang.biz,Data Scientist,Visa,Monitor,2,273.5,0.17
Terry Miles,richardsbrenda@sanders.com,Engineer,American Express,Gaming Console,3,74.82,0.2
Chad Rivera,susan02@copeland-lowery.com,Software Engineer,Visa,Keyboard,2,39.42,0.1
David Romero,zcoleman@hotmail.com,Data Scientist,MasterCard,Smartphone,1,48.22,0.15
